timestamp,date,time,pid,user,workspace,ip,client,command,args,file_path,nb_files,project,file_ext,duration_s,lapse_s,mem_cmd_mb,mem_proc_mb,rpc_in,rpc_out,db_read_locks,db_write_locks,rows_get,rows_pos,rows_scan,rows_put,rows_del
2026-04-27 16:34:20,2026-04-27,16:34:20,2836,camblard,camblard_Workspace,174.94.121.193,UE/v91,user-revert,-w E:/perforce/20261_NAD_NAND205_Groupe_N01/CAmblard/CAmblard_ProjetFinal/Content/Materials/MasterMaterials/MI_Decal_Bordure.uasset,"[""E:/perforce/20261_NAD_NAND205_Groupe_N01/CAmblard/CAmblard_ProjetFinal/Content/Materials/MasterMaterials/MI_Decal_Bordure.uasset""]",1,20261_NAD_NAND205_Groupe_N01,uasset,0.093,.093,11,11,0,0,14,5,3,20,2610,2,2
2026-04-27 16:34:21,2026-04-27,16:34:21,1300,tlaperle,School_Disk_Perforce,24.48.81.229,Helix P4V/NTX64/2024.4/2695759/v97,user-submit,--parallel=0 -f submitunchanged -i,[],0,,,0.188,.188,11,11,0,0,25,12,33,22,2775,9,0
2026-04-27 16:34:27,2026-04-27,16:34:27,8416,bdmelo,ProjetSyntheseARTDEV,212.15.86.163,UE/v91,user-edit,E:/ProjetSyntheseARTDEV/GothicFight/Content/Gothic_Fight/Blueprints/NewUI/Widget/WBP_CharacterSelect.uasset,"[""E:/ProjetSyntheseARTDEV/GothicFight/Content/Gothic_Fight/Blueprints/NewUI/Widget/WBP_CharacterSelect.uasset""]",1,ProjetSyntheseARTDEV,uasset,0.156,.156,11,11,0,0,17,5,9,28,2569,5,0
2026-04-27 16:34:30,2026-04-27,16:34:30,9656,tlaperle,School_Disk_Perforce,24.48.81.229,Helix P4V/NTX64/2024.4/2695759/v97,user-sync,//20261_NAD_NAND169_N11_Sandbox/TP4/GouliGambli/...#head,"[""//20261_NAD_NAND169_N11_Sandbox/TP4/GouliGambli/...#head""]",1,20261_NAD_NAND169_N11_Sandbox,,0.094,.094,15,15,0,0,9,2,4,6,3261,2,0
2026-04-27 16:34:13,2026-04-27,16:34:13,9036,aakader,aakader_N5-212-17_5270,172.16.70.47,Helix P4V/NTX64/2025.1/2731664/v97,user-sync,//20261_NAD_NAND136_N11_Equipe03/...#head,"[""//20261_NAD_NAND136_N11_Equipe03/...#head""]",1,20261_NAD_NAND136_N11_Equipe03,,20.1,20.1,25,25,0,0,9,2,4,6,15395,2,0
2026-04-27 16:34:38,2026-04-27,16:34:38,7948,alamarche1,PerforceWorkSpace_Hiv26_NAND168_Moteur,192.222.143.51,P4V/NTX64/2025.4/2881463/v99,user-sync,n:\Perforce\20261_NAD_NAND124_TP2-SC-A\...#head,"[""n:\\Perforce\\20261_NAD_NAND124_TP2-SC-A\\...#head""]",1,20261_NAD_NAND124_TP2-SC-A,,0.39,.390,15,15,0,0,9,3,4,6,5329,6,0
2026-04-27 16:34:51,2026-04-27,16:34:51,9764,achavy,Dev_Broloc_Reseau,76.69.246.12,IntelliJ_IDEA_resolve/2025.2/NTX64/2882317,user-resolve,-n -t E:/PROJETS_INFORMATIQUE/_Projets_UE5/Dev_Broloc_Reseau/Broloc_ETA/...,"[""E:/PROJETS_INFORMATIQUE/_Projets_UE5/Dev_Broloc_Reseau/Broloc_ETA/...""]",1,PROJETS_INFORMATIQUE,,0.093,.093,11,11,0,0,15,3,6,12,2541,3,0
2026-04-27 16:34:52,2026-04-27,16:34:52,8768,ncousinea,Olivia_S4_Prototype,67.70.35.157,UE/v91,user-add,D:/University NAD/Session 4/Prototypage/20261_NAD_NAND169_N01-Sandbox/Enseignant/TP...69_N01_NadParty/Content/MiniGames/Mole_Avalanche/Textures/T_Mole_AV_Grass_BC.uasset D:/University NAD/Session 4/Prototypage/20261_NAD_NAND169_N01-Sandbox/Enseignant/TP...169_N01_NadParty/Content/MiniGames/Mole_Avalanche/Textures/T_Mole_AV_Grass_N.uasset D:/University NAD/Session 4/Prototypage/20261_NAD_NAND169_N01-Sandbox/Enseignant/TPs/NAND169_N01_NadParty/Content/MiniGames/Mole_Avalanche/Textures/T_Mole_AV_Grass_R.uasset,"[""D:/University NAD/Session 4/Prototypage/20261_NAD_NAND169_N01-Sandbox/Enseignant/TP...69_N01_NadParty/Content/MiniGames/Mole_Avalanche/Textures/T_Mole_AV_Grass_BC.uasset"",""D:/University NAD/Session 4/Prototypage/20261_NAD_NAND169_N01-Sandbox/Enseignant/TP...169_N01_NadParty/Content/MiniGames/Mole_Avalanche/Textures/T_Mole_AV_Grass_N.uasset"",""D:/University NAD/Session 4/Prototypage/20261_NAD_NAND169_N01-Sandbox/Enseignant/TPs/NAND169_N01_NadParty/Content/MiniGames/Mole_Avalanche/Textures/T_Mole_AV_Grass_R.uasset""]",3,20261_NAD_NAND169_N01-Sandbox,uasset,0.125,.125,11,11,0,0,26,5,6,38,2845,9,0
2026-04-27 16:34:52,2026-04-27,16:34:52,9008,esanhueza,hdd_workspace,192.222.185.180,UE/v91,user-edit,D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/2/95/YSR5O28IVTMXV5AZ35IEI9.uasset D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/C/GA/3QJPRV8YYOCIOKS4PJ24MC.uasset,"[""D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/2/95/YSR5O28IVTMXV5AZ35IEI9.uasset"",""D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/C/GA/3QJPRV8YYOCIOKS4PJ24MC.uasset""]",2,20261_NAD_NAND136_N12_Equipe02,uasset,0.172,.172,11,11,0,0,15,5,5,20,2562,7,0
2026-04-27 16:34:52,2026-04-27,16:34:52,6796,adgarcia,NAD_PerforceH26,142.116.25.190,UE/v91,user-edit,D:/Hiver_2026/Perforce/20261_NAD_NAND124_TP2-SC-A/NAND124TP3_A/Content/Sequencer/Sequencer_InterrogatoireScene.uasset,"[""D:/Hiver_2026/Perforce/20261_NAD_NAND124_TP2-SC-A/NAND124TP3_A/Content/Sequencer/Sequencer_InterrogatoireScene.uasset""]",1,20261_NAD_NAND124_TP2-SC-A,uasset,0.11,.110,11,11,0,0,11,4,4,15,2554,4,0
2026-04-27 16:34:52,2026-04-27,16:34:52,2896,esanhueza,hdd_workspace,192.222.185.180,UE/v91,user-add,D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/2/CF/MQG2908KH2RKHTAR2MSMNL.uasset D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/5/KF/GFOX0C61CW7ZFJPSN1BBWE.uasset,"[""D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/2/CF/MQG2908KH2RKHTAR2MSMNL.uasset"",""D:/Perforce/20261_NAD_NAND136_N12_Equipe02/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/__ExternalActors__/LEVEL/LVL_Evan_Sanhueza/5/KF/GFOX0C61CW7ZFJPSN1BBWE.uasset""]",2,20261_NAD_NAND136_N12_Equipe02,uasset,0.125,.125,11,11,0,0,20,4,5,23,2820,6,0
2026-04-27 16:34:53,2026-04-27,16:34:53,660,bpaquin,bpaquin_xHDD_Workspace,66.130.58.66,UE/v91,user-edit,F:/PV4/H26/20261_NAD_NAND124_TP2-SC-I/NAND124_TP3_EquipeI/Content/Levels/Sub_Cameras.umap,"[""F:/PV4/H26/20261_NAD_NAND124_TP2-SC-I/NAND124_TP3_EquipeI/Content/Levels/Sub_Cameras.umap""]",1,20261_NAD_NAND124_TP2-SC-I,umap,0.218,.218,11,11,0,0,11,4,4,14,2552,4,0
